method vars sample run_id time
Best-Logit 16 400 9 200.0000
Best-Logit 32 400 0 200.0000
Best-Logit 32 400 1 200.0000
Best-Logit 32 400 2 200.0000
Best-Logit 32 400 3 200.0000
Best-Logit 32 400 4 200.0000
Best-Logit 32 400 5 200.0000
Best-Logit 32 400 6 200.0000
Best-Logit 32 400 7 200.0000
Best-Logit 32 400 8 200.0000
Best-Logit 32 400 9 200.0000
Best-Logit 64 400 0 200.0000
Best-Logit 64 400 1 200.0000
Best-Logit 64 400 2 200.0000
Best-Logit 64 400 3 200.0000
Best-Logit 64 400 4 200.0000
Best-Logit 64 400 5 200.0000
Best-Logit 64 400 6 200.0000
Best-Logit 64 400 7 200.0000
Best-Logit 64 400 8 200.0000
Best-Logit 64 400 9 200.0000
Best-Logit 2 800 0 0.0288
Best-Logit 2 800 1 0.0287
Best-Logit 2 800 2 0.0287
Best-Logit 2 800 3 0.0289
Best-Logit 2 800 4 0.0287
Best-Logit 2 800 5 0.0287
Best-Logit 2 800 6 0.0290
Best-Logit 2 800 7 0.0287
Best-Logit 2 800 8 0.0286
Best-Logit 2 800 9 0.0290
Best-Logit 4 800 0 0.0809
Best-Logit 4 800 1 0.0812
Best-Logit 4 800 2 0.0807
Best-Logit 4 800 3 0.0814
Best-Logit 4 800 4 0.0814
Best-Logit 4 800 5 0.0812
Best-Logit 4 800 6 0.0796
Best-Logit 4 800 7 0.0811
Best-Logit 4 800 8 0.0814
Best-Logit 4 800 9 0.0815
Best-Logit 8 800 0 1.1489
Best-Logit 8 800 1 1.1475
Best-Logit 8 800 2 1.1513
Best-Logit 8 800 3 1.1510
Best-Logit 8 800 4 1.1473
Best-Logit 8 800 5 1.1479
Best-Logit 8 800 6 1.1481
Best-Logit 8 800 7 1.1477
Best-Logit 8 800 8 1.1438
Best-Logit 8 800 9 1.1526
Best-Logit 16 800 0 200.0000
Best-Logit 16 800 1 200.0000
Best-Logit 16 800 2 200.0000
Best-Logit 16 800 3 200.0000
Best-Logit 16 800 4 200.0000
Best-Logit 16 800 5 200.0000
Best-Logit 16 800 6 200.0000
Best-Logit 16 800 7 200.0000
Best-Logit 16 800 8 200.0000
Best-Logit 16 800 9 200.0000
Best-Logit 32 800 0 200.0000
Best-Logit 32 800 1 200.0000
Best-Logit 32 800 2 200.0000
Best-Logit 32 800 3 200.0000
Best-Logit 32 800 4 200.0000
Best-Logit 32 800 5 200.0000
Best-Logit 32 800 6 200.0000
Best-Logit 32 800 7 200.0000
Best-Logit 32 800 8 200.0000
Best-Logit 32 800 9 200.0000
Best-Logit 64 800 0 200.0000
Best-Logit 64 800 1 200.0000
Best-Logit 64 800 2 200.0000
Best-Logit 64 800 3 200.0000
Best-Logit 64 800 4 200.0000
Best-Logit 64 800 5 200.0000
Best-Logit 64 800 6 200.0000
Best-Logit 64 800 7 200.0000
Best-Logit 64 800 8 200.0000
Best-Logit 64 800 9 200.0000
Best-Logit 2 1600 0 0.0316
Best-Logit 2 1600 1 0.0303
Best-Logit 2 1600 2 0.0305
Best-Logit 2 1600 3 0.0304
Best-Logit 2 1600 4 0.0306
Best-Logit 2 1600 5 0.0304
Best-Logit 2 1600 6 0.0307
Best-Logit 2 1600 7 0.0305
Best-Logit 2 1600 8 0.0305
Best-Logit 2 1600 9 0.0308
Best-Logit 4 1600 0 0.0866
Best-Logit 4 1600 1 0.0871
Best-Logit 4 1600 2 0.0866
Best-Logit 4 1600 3 0.0868
Best-Logit 4 1600 4 0.0872
Best-Logit 4 1600 5 0.0869
Best-Logit 4 1600 6 0.0869
Best-Logit 4 1600 7 0.0868
Best-Logit 4 1600 8 0.0872
Best-Logit 4 1600 9 0.0870
Best-Logit 8 1600 0 1.2534
Best-Logit 8 1600 1 1.2547
Best-Logit 8 1600 2 1.2566
Best-Logit 8 1600 3 1.2549
Best-Logit 8 1600 4 1.2593
Best-Logit 8 1600 5 1.2529
Best-Logit 8 1600 6 1.2553
Best-Logit 8 1600 7 1.2637
Best-Logit 8 1600 8 1.2577
Best-Logit 8 1600 9 1.2563
Best-Logit 16 1600 0 200.0000
Best-Logit 16 1600 1 200.0000
Best-Logit 16 1600 2 200.0000
Best-Logit 16 1600 3 200.0000
Best-Logit 16 1600 4 200.0000
Best-Logit 16 1600 5 200.0000
Best-Logit 16 1600 6 200.0000
Best-Logit 16 1600 7 200.0000
Best-Logit 16 1600 8 200.0000
Best-Logit 16 1600 9 200.0000
Best-Logit 32 1600 0 200.0000
Best-Logit 32 1600 1 200.0000
Best-Logit 32 1600 2 200.0000
Best-Logit 32 1600 3 200.0000
Best-Logit 32 1600 4 200.0000
Best-Logit 32 1600 5 200.0000
Best-Logit 32 1600 6 200.0000
Best-Logit 32 1600 7 200.0000
Best-Logit 32 1600 8 200.0000
Best-Logit 32 1600 9 200.0000
Best-Logit 64 1600 0 200.0000
Best-Logit 64 1600 1 200.0000
Best-Logit 64 1600 2 200.0000
Best-Logit 64 1600 3 200.0000
Best-Logit 64 1600 4 200.0000
Best-Logit 64 1600 5 200.0000
Best-Logit 64 1600 6 200.0000
Best-Logit 64 1600 7 200.0000
Best-Logit 64 1600 8 200.0000
Best-Logit 64 1600 9 200.0000
Best-Logit 2 3200 0 0.0361
Best-Logit 2 3200 1 0.0346
Best-Logit 2 3200 2 0.0345
Best-Logit 2 3200 3 0.0346
Best-Logit 2 3200 4 0.0346
Best-Logit 2 3200 5 0.0347
Best-Logit 2 3200 6 0.0347
Best-Logit 2 3200 7 0.0347
Best-Logit 2 3200 8 0.0346
Best-Logit 2 3200 9 0.0346
Best-Logit 4 3200 0 0.1020
Best-Logit 4 3200 1 0.1023
Best-Logit 4 3200 2 0.1018
Best-Logit 4 3200 3 0.1016
Best-Logit 4 3200 4 0.1020
Best-Logit 4 3200 5 0.1020
Best-Logit 4 3200 6 0.1021
Best-Logit 4 3200 7 0.1017
Best-Logit 4 3200 8 0.1018
Best-Logit 4 3200 9 0.1017
Best-Logit 8 3200 0 1.4982
Best-Logit 8 3200 1 1.5043
Best-Logit 8 3200 2 1.5060
Best-Logit 8 3200 3 1.5143
Best-Logit 8 3200 4 1.5048
Best-Logit 8 3200 5 1.5073
Best-Logit 8 3200 6 1.5091
Best-Logit 8 3200 7 1.5019
Best-Logit 8 3200 8 1.5098
Best-Logit 8 3200 9 1.4994
Best-Logit 16 3200 0 200.0000
Best-Logit 16 3200 1 200.0000
Best-Logit 16 3200 2 200.0000
Best-Logit 16 3200 3 200.0000
Best-Logit 16 3200 4 200.0000
Best-Logit 16 3200 5 200.0000
Best-Logit 16 3200 6 200.0000
Best-Logit 16 3200 7 200.0000
Best-Logit 16 3200 8 200.0000
Best-Logit 16 3200 9 200.0000
Best-Logit 32 3200 0 200.0000
Best-Logit 32 3200 1 200.0000
Best-Logit 32 3200 2 200.0000
Best-Logit 32 3200 3 200.0000
Best-Logit 32 3200 4 200.0000
Best-Logit 32 3200 5 200.0000
Best-Logit 32 3200 6 200.0000
Best-Logit 32 3200 7 200.0000
Best-Logit 32 3200 8 200.0000
Best-Logit 32 3200 9 200.0000
Best-Logit 64 3200 0 200.0000
Best-Logit 64 3200 1 200.0000
Best-Logit 64 3200 2 200.0000
Best-Logit 64 3200 3 200.0000
Best-Logit 64 3200 4 200.0000
Best-Logit 64 3200 5 200.0000
Best-Logit 64 3200 6 200.0000
Best-Logit 64 3200 7 200.0000
Best-Logit 64 3200 8 200.0000
Best-Logit 64 3200 9 200.0000
