method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 2 400 0 0.000324 0.000054 0.000069 0.064817 200 200 1x 100 ok
Stacking-Online 2 400 0 0.004829 0.004816 0.004845 0.965748 200 200 1x 100 ok
BMA 2 400 1 0.000327 0.000054 0.000068 0.065357 200 200 1x 100 ok
Stacking-Online 2 400 1 0.004758 0.004748 0.004779 0.951645 200 200 1x 100 ok
BMA 2 400 2 0.000323 0.000054 0.000067 0.064691 200 200 1x 100 ok
Stacking-Online 2 400 2 0.004761 0.004741 0.004788 0.952241 200 200 1x 100 ok
BMA 2 400 3 0.000328 0.000055 0.000071 0.065515 200 200 1x 100 ok
Stacking-Online 2 400 3 0.004780 0.004756 0.005093 0.955918 200 200 1x 100 ok
BMA 2 400 4 0.000323 0.000053 0.000068 0.064670 200 200 1x 100 ok
Stacking-Online 2 400 4 0.004760 0.004751 0.004780 0.952019 200 200 1x 100 ok
BMA 2 400 5 0.000325 0.000054 0.000069 0.065090 200 200 1x 100 ok
Stacking-Online 2 400 5 0.004854 0.004830 0.005117 0.970819 200 200 1x 100 ok
BMA 2 400 6 0.000325 0.000054 0.000071 0.065001 200 200 1x 100 ok
Stacking-Online 2 400 6 0.004851 0.004838 0.004939 0.970234 200 200 1x 100 ok
BMA 2 400 7 0.000328 0.000055 0.000067 0.065627 200 200 1x 100 ok
Stacking-Online 2 400 7 0.004778 0.004760 0.004840 0.955676 200 200 1x 100 ok
BMA 2 400 8 0.000325 0.000054 0.000070 0.065082 200 200 1x 100 ok
Stacking-Online 2 400 8 0.004781 0.004756 0.004911 0.956138 200 200 1x 100 ok
BMA 2 400 9 0.000325 0.000054 0.000070 0.064935 200 200 1x 100 ok
Stacking-Online 2 400 9 0.004783 0.004766 0.004822 0.956616 200 200 1x 100 ok
BMA 4 400 0 0.000561 0.000057 0.000068 0.112169 200 200 1x 100 ok
Stacking-Online 4 400 0 0.006614 0.006596 0.006633 1.322843 200 200 1x 100 ok
BMA 4 400 1 0.000552 0.000057 0.000066 0.110399 200 200 1x 100 ok
Stacking-Online 4 400 1 0.006615 0.006596 0.006632 1.323023 200 200 1x 100 ok
BMA 4 400 2 0.000562 0.000058 0.000067 0.112309 200 200 1x 100 ok
