type	model	RE	success
Stacking	Stacking	0.03820185785542405	TRUE
Stacking	Stacking	0.04144190453637757	TRUE
Stacking	Stacking	0.06327693054544398	FALSE
Stacking	Stacking	0.03767226459386445	TRUE
Stacking	Stacking	0.005410705745126691	TRUE
Stacking	Stacking	0.0066095079165711815	TRUE
Stacking	Stacking	0.03153742505470315	TRUE
Stacking	Stacking	0.020344659361854322	TRUE
Stacking	Stacking	0.01807048425017149	TRUE
Stacking	Stacking	0.03447296705471295	TRUE
Stacking	Stacking	0.0676867501832031	FALSE
Stacking	Stacking	0.030989393217383917	FALSE
Stacking	Stacking	0.0025278264950076854	TRUE
Stacking	Stacking	0.006032515437313066	TRUE
Stacking	Stacking	0.01964534972093146	TRUE
Stacking	Stacking	0.030648559351192324	TRUE
Stacking	Stacking	0.02543895980667517	TRUE
Stacking	Stacking	0.10075826707711373	FALSE
Stacking	Stacking	0.001075279557614955	FALSE
Stacking	Stacking	0.05354985457411977	FALSE
Stacking	Stacking	0.014486727981389584	TRUE
Stacking	Stacking	0.007442741004199785	FALSE
Stacking	Stacking	0.022428428469677082	TRUE
Stacking	Stacking	0.004192404539442979	TRUE
Stacking	Stacking	0.009067391428062186	TRUE
Stacking	Stacking	0.018757351974393953	TRUE
Stacking	Stacking	0.04229924156686538	TRUE
Stacking	Stacking	0.047609689862677926	TRUE
Stacking	Stacking	0.036993459142797634	TRUE
Stacking	Stacking	0.006061167634026575	TRUE
Stacking	Stacking	0.004410364348800371	TRUE
Stacking	Stacking	0.01499833504139666	TRUE
Stacking	Stacking	0.02995467211090172	TRUE
Stacking	Stacking	0.045970599334764176	TRUE
Stacking	Stacking	0.0013351007482951987	TRUE
Stacking	Stacking	0.029187162578853298	FALSE
Stacking	Stacking	0.0017763768026205849	TRUE
Stacking	Stacking	0.020396676023868385	TRUE
Stacking	Stacking	0.11923273718938057	TRUE
Stacking	Stacking	0.11386354921032828	FALSE
Stacking	Stacking	0.006755117982820244	TRUE
